,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
323,740.0,studio,33.0,True,0,1,Madrid,8322,good,bj,Hortaleza,True
324,750.0,flat,110.0,True,4,2,Colmenar Viejo,27976,good,1,El Mirador,False
325,750.0,flat,62.0,True,2,1,Madrid,5703,good,3,Puente de Vallecas,False
326,750.0,studio,70.0,True,0,1,San Sebastián de los Reyes,16273,good,bj,Pol. Industrial sur,True
327,650.0,studio,28.0,True,0,1,Madrid,5399,good,bj,Ciudad Lineal,False
328,625.0,flat,51.0,True,1,1,Arganda,25010,good,2,Centro,True
329,700.0,flat,35.0,True,1,1,Madrid,2266,good,bj,Retiro,True
330,750.0,flat,95.0,True,2,2,Colmenarejo,30759,good,1,desconocido,False
331,600.0,studio,25.0,False,0,1,Madrid,3812,good,bj,Usera,False
332,750.0,flat,89.0,True,2,2,Getafe,12878,good,2,San Isidro,True
333,700.0,flat,55.0,True,1,1,Valdemorillo,32004,good,1,Valdemorillo pueblo,True
334,750.0,flat,90.0,True,3,2,Campo Real,28736,good,2,desconocido,True
335,750.0,flat,48.0,True,2,1,Madrid,6832,good,2,Fuencarral,True
336,625.0,flat,57.0,True,2,1,Aranjuez,43647,good,bj,Centro,False
337,750.0,flat,46.0,True,1,1,San Sebastián de los Reyes,16127,good,1,Centro Urbano,False
338,695.0,flat,59.0,True,1,1,Madrid,8595,good,4,Villaverde,True
339,450.0,flat,40.0,True,1,1,Robledo de Chavela,46273,good,1,desconocido,False
340,720.0,flat,58.0,True,2,1,Alcorcón,13451,good,bj,Centro,False
341,745.0,flat,73.0,True,2,1,Alcalá de Henares,28800,good,2,Las Sedas - El Olivar,True
342,720.0,flat,69.6,True,2,1,Alcalá de Henares,28624,good,2,Las Sedas - El Olivar,True
343,750.0,flat,55.0,True,2,1,Madrid,7462,good,1,Fuencarral,False
344,720.0,studio,48.0,True,0,1,Madrid,5808,good,1,Ciudad Lineal,True
345,725.0,studio,44.0,False,0,1,Madrid,1140,good,8,Centro,True
346,750.0,flat,80.0,False,2,1,Madrid,8011,good,5,Villaverde,True
347,550.0,flat,86.0,True,2,1,Torrelaguna,47448,good,1,desconocido,True
348,640.0,flat,69.0,True,2,1,Villalbilla,29311,good,2,desconocido,True
349,700.0,flat,54.0,True,1,1,Getafe,11656,good,1,Getafe Centro,True
350,700.0,flat,59.0,True,1,1,Madrid,7529,good,6,Carabanchel,True
351,700.0,flat,75.0,True,2,1,Alcalá de Henares,30359,good,1,Pryconsa - Poligono Europa,False
352,695.0,flat,62.0,False,2,1,Alcobendas,15162,good,3,Alcobendas Centro,False
