,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
57,650.0,689.5390471579225,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.3723404255319149,0.1827947458919043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,725.0,689.5390471579225,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.3191489361702128,0.1333912396078918,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59,750.0,710.948085191854,702.3917346259143,701.970873786407,703.1105634699142,705.692305461913,0.797872340425532,0.501657419389148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
60,700.0,689.5390471579225,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.1063829787234042,0.2103415879318597,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
61,700.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.0744680851063829,0.0214135039795791,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
62,650.0,704.5562854110732,702.3917346259143,701.970873786407,710.5365065594968,705.692305461913,0.4148936170212766,0.5385106269831422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
63,550.0,689.5390471579225,679.6964382956414,701.970873786407,701.7385556407845,705.692305461913,0.8724271670624579,0.6734192777941136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
64,650.0,689.5390471579225,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.3723404255319149,0.1792671901866591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
65,750.0,704.5562854110732,706.8106482790962,701.970873786407,682.8892293349359,705.692305461913,0.4787234042553191,0.0956694378955205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
66,725.0,704.5562854110732,706.8106482790962,701.970873786407,682.8892293349359,705.692305461913,0.5319148936170213,0.0697356992182652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
67,700.0,689.5390471579225,702.3917346259143,701.970873786407,710.5365065594968,696.3333379576432,0.6382978723404256,0.51897612252495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
68,650.0,689.5390471579225,706.8106482790962,701.970873786407,678.7988667568208,705.692305461913,0.2127659574468085,0.213443709783206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
