,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax
192,590.0,flat,True,1,1,Los Molinos,good,bj,False,0.34042553191489366,0.7860422243099996
193,750.0,penthouse,True,0,1,Tres Cantos,good,1,True,0.6382978723404256,0.365784482300179
194,720.0,studio,True,0,1,Madrid,good,2,True,0.1702127659574468,0.10267137007427365
195,700.0,flat,True,2,1,San Lorenzo de el Escorial,good,3,False,0.6595744680851063,0.7494726392852712
196,692.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.6702127659574468,0.35649584315671917
197,670.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.6276595744680851,0.35649584315671917
198,609.0,flat,True,1,1,Alcalá de Henares,newdevelopment,bj,True,0.3829787234042553,0.5318454966053925
199,718.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.7021276595744681,0.35649584315671917
200,694.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.648936170212766,0.35649584315671917
201,658.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.6170212765957447,0.35649584315671917
202,750.0,flat,False,2,1,Madrid,good,2,True,0.1702127659574468,0.06092567316044175
203,723.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.723404255319149,0.35649584315671917
204,728.0,flat,True,2,2,Torrejón de Ardoz,newdevelopment,desconocido,True,0.7553191489361702,0.35649584315671917
205,650.0,studio,True,0,1,Madrid,good,bj,False,0.08510638297872339,0.08397000691330013
206,750.0,flat,False,2,1,Alcalá de Henares,good,1,False,0.4255319148936171,0.5225745838725118
207,735.0,flat,True,3,1,Parla,good,4,False,0.4255319148936171,0.3669898782195593
208,699.0,penthouse,True,2,1,Colmenar Viejo,good,2,False,0.6170212765957447,0.48749401733642955
209,725.0,flat,True,3,1,Móstoles,good,4,False,0.5,0.3014907911297041
210,740.0,flat,True,3,2,Alcalá de Henares,good,bj,True,0.6063829787234043,0.499920231152394
211,720.0,flat,True,1,1,Collado Villalba,good,2,True,0.5638297872340425,0.6129438250048749
212,750.0,flat,True,3,1,Getafe,good,en,True,0.6276595744680851,0.20465141013596158
213,710.0,flat,True,3,1,Parla,good,4,False,0.4893617021276596,0.361707407866981
214,725.0,flat,True,2,1,Madrid,good,3,False,0.44680851063829785,0.1341002960310567
215,750.0,flat,False,1,1,Madrid,good,bj,False,0.276595744680851,0.09744207895343272
216,750.0,flat,True,2,1,Madrid,good,1,True,0.43617021276595747,0.05278925070462483
217,720.0,flat,False,2,1,Parla,good,desconocido,True,0.9574468085106383,0.376402602237073
218,720.0,flat,False,2,1,Madrid,good,bj,False,0.2978723404255319,0.059702550830482336
219,700.0,flat,False,2,1,Madrid,good,4,False,0.3936170212765957,0.14583517983443534
220,750.0,duplex,True,2,2,Cobeña,good,1,False,0.5851063829787234,0.42530976902487017
221,610.0,studio,False,0,1,Madrid,good,3,True,0.06382978723404256,0.09146827858826866
222,740.0,flat,False,2,1,Móstoles,good,4,False,0.34042553191489366,0.30741141226313085
223,715.0,flat,True,2,1,Colmenar Viejo,good,bj,True,0.44680851063829785,0.46753407902433836
224,550.0,flat,False,2,1,Aranjuez,good,bj,False,0.3936170212765957,0.7682271816779821
225,710.0,flat,True,1,1,Madrid,good,bj,False,0.1702127659574468,0.020066296775565918
226,730.0,flat,True,2,1,Madrid,good,2,False,0.32978723404255317,0.1402159076808537
227,750.0,studio,True,0,1,Madrid,good,8,True,0.03191489361702127,0.020988070125680252
228,690.0,flat,False,1,1,Madrid,good,3,True,0.13829787234042554,0.08950064701398613
229,740.0,flat,True,3,1,Parla,good,4,True,0.5638297872340425,0.3838654210908833
230,750.0,duplex,True,1,1,Madrid,good,bj,True,0.4893617021276596,0.09650257919273926
231,720.0,flat,False,3,1,Madrid,good,2,False,0.25531914893617025,0.14168719975892083
232,740.0,flat,True,2,1,Madrid,good,2,False,0.2234042553191489,0.08161239430627693
233,740.0,flat,True,1,1,Madrid,good,1,True,0.3936170212765957,0.06131565419318243
