,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
43,620.0,flat,True,2,1,Madrid,good,desconocido,False,0.4255319148936171,0.138230549695992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,550.0,flat,True,1,1,Leganés,good,desconocido,False,0.8724271670624579,0.6734192777941136,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,750.0,flat,False,1,1,Madrid,good,3,True,0.276595744680851,0.0229202488788045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,680.0,studio,True,0,1,Madrid,good,bj,False,0.3723404255319149,0.0871075815858046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,700.0,flat,True,1,2,Camarma de Esteruelas,desconocido,desconocido,desconocido,0.3191489361702128,0.5649229787460338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,750.0,duplex,True,1,1,Madrid,desconocido,desconocido,desconocido,0.1595744680851063,0.0684948504777267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,750.0,flat,True,2,1,Alcorcón,good,1,True,0.4893617021276596,0.2327123180827114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,650.0,flat,True,1,1,Alcalá de Henares,good,en,True,0.4787234042553191,0.5186215943133675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,600.0,flat,True,1,1,Valdemoro,good,desconocido,True,0.3191489361702128,0.4298122773119671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,650.0,flat,True,1,1,Collado Villalba,good,2,True,0.4361702127659574,0.6151596263272651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,650.0,flat,False,2,1,Alcorcón,good,3,False,0.4787234042553191,0.2012656657153493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,700.0,flat,True,1,1,Madrid,good,3,False,0.2659574468085106,0.2151631716093808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,625.0,flat,True,2,1,Getafe,good,bj,False,0.4468085106382978,0.203552372680056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,595.0,flat,True,1,1,Madrid,good,bj,False,0.2659574468085106,0.0772871501249712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
